id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1819,"13 Greygum Place, Gymea Bay",5.0,2,1.0,1720000.0,-34.0508514,151.0882178,2227.0,330.1,5210.542259921235,Sydney,478.03611398803895,2028809.5238095238,3891.876146882992
1820,"168 Harbour Boulevard, Shell Cove",4.0,3,2.0,1410000.0,-34.5824074,150.8617567,2529.0,288.0,4895.833333333333,Wollongong,248.85850589651216,1196978.0666666667,2875.2331998273853
1822,"57b Mosely Avenue, South Penrith",4.0,2,2.0,1210000.0,-33.77291,150.6901994,2750.0,277.0,4368.231046931408,Sydney,2786.603250203611,1153690.0,1672.595737175395
1823,"46 Bryant Street, Tighes Hill",3.0,1,2.0,1207000.0,-32.9080254,151.7480743,2297.0,384.0,3143.2291666666665,Newcastle,12.9896446564865,1305333.3333333333,3478.704874173133
1824,"32 Fieldhouse Circuit, Campbelltown",4.0,3,4.0,1027500.0,-34.07990525,150.7764792889173,2560.0,278.0,3696.043165467626,Wollongong,1346.3114733099412,1019871.4227642276,1828.601016558203
1825,"10 Chaffey Street, Jordan Springs",4.0,2,1.0,995000.0,-33.733294,150.7547438,2747.0,275.0,3618.181818181818,Sydney,2249.8321499445183,1106955.7692307692,2281.4685108691087
1826,"21 Percy Street, North Lambton",4.0,2,2.0,970000.0,-32.904824,151.7019746,2299.0,373.0,2600.5361930294907,Newcastle,63.96076541158915,937777.7777777778,2285.643509819789
1827,"23B Farm Cove Street, Gregory Hills",4.0,2,1.0,900000.0,-34.033967,150.778336,2557.0,272.0,3308.823529411765,Wollongong,1682.7520758500248,1207210.5263157894,3198.2633277250734
1828,"39 Heritage Drive, Chisholm",3.0,2,2.0,775000.0,-32.7535376,151.63292056515337,2322.0,363.3,2133.2232314891276,Newcastle,512.9521217189792,890760.3773584906,1267.429751742148
1829,"118 McKeachie Drive, Aberglasslyn",3.0,2,2.0,645000.0,-32.693489,151.546325,2320.0,324.2,1989.5126465144972,Newcastle,1084.7850114599732,865725.5639097744,1181.3657708769929
1830,"1 Ruby Road, Rutherford",3.0,2,2.0,640000.0,-32.7106,151.539527,2320.0,386.5,1655.8861578266494,Newcastle,1039.9864312899906,865725.5639097744,1181.3657708769929
1831,"123A Westbourne Street, Petersham",4.0,3,2.0,3695000.0,-33.891653,151.159141,2049.0,311.0,11881.028938906753,Sydney,30.381848900006855,2515083.3333333335,9365.390552762627
1833,"21 Station Street, Tempe",3.0,1,2.0,1614000.0,-33.9266868,151.1608981,2044.0,284.5,5673.11072056239,Sydney,56.93625537851382,1974357.142857143,6571.078795637533
1834,"15 Dugay Street, Oran Park",5.0,3,2.0,1575000.0,-34.0080057,150.746358,2570.0,390.0,4038.4615384615386,Wollongong,1977.604688764947,1233320.2614379085,2452.919945362968
